web_url,headline,top,common,demonym,city,month,year
https://query.nytimes.com/gst/abstract.html?res=9E02E4D91239E733A25756C2A9679C946197D6CF,EXTREME ANXIETY FELT IN LONDON; News Awaited of Buller's Attempt to Seize Spion Kop. CROWDS BESIEGE WAR OFFICE Recognized that Success Must Be Bought at Great Cost. Conjectures and Forecasts of All Sorts Take the Place of Actual News from the Scene of Action.,united kingdom,,,united kingdom (london),01,1900
https://query.nytimes.com/gst/abstract.html?res=9F04E1D61239E733A25750C1A9649C946197D6CF,THE EDINBURGH AGROUND; Life Savers Take Off the Crew by Life Lines. It Was Impossible to Launch the Surf Boats -- Position of the Vessel on the Jersey Coast.,united kingdom,jersey (jersey),,united kingdom (edinburgh),02,1900
https://query.nytimes.com/gst/abstract.html?res=9E0DE3DA153FE433A25750C1A9659C946197D6CF,"ROBERTS OUTWITS THE BOERS AGAIN; Turns Their Position by March Along Kaal Spruit Bank. BURGHER FARMS DESERTED The British Are Now Twelve Miles from Bloemfontein. They Will, It Is Expected, Reach the City To-morrow Without Much Further Opposition -- Buller's Plans Unknown.",united kingdom,south africa (boer),united kingdom (british),,03,1900
https://query.nytimes.com/gst/abstract.html?res=9907E7D91339E733A25756C0A9629C946197D6CF,"ASSASSIN FIRES AT PRINCE OF WALES; Shoots Into a Railway Carriage in the Brussels Station. TWO BULLETS DO NO HARM Would-be Murderer, in Custody, Boasts of His Deed. Attack Was Made While the Royal Party Was on Its Way to Attend King Christian's Birthday Celebration.",united kingdom,united kingdom (wales),,belgium (brussels),04,1900
https://query.nytimes.com/gst/abstract.html?res=9901E6DD163CE433A25753C2A9639C946197D6CF,HATRED FOR AMERICA.; London Paper Says Continental Powers Are Against the United States in Dispute with Turkey.,united kingdom,turkey (turkey),,united kingdom (london),05,1900
https://query.nytimes.com/gst/abstract.html?res=9B04E0D61339E733A25754C2A9609C946197D6CF,REPUBLICANS RATIFY THEIR NATIONAL TICKET; M'Kinley's Administration Indorsed at Carnegie Hall Meeting. ROOSEVELT WARMLY PRAISED President Low on Croker's Imperialism -- Foraker Touches on Trusts -- Depew Points to America at China's Door. REPUBLICANS RATIFY THEIR NATIONAL TICKET,china,china (china),,,06,1900
https://query.nytimes.com/gst/abstract.html?res=9D0DEFD9163FE433A25750C1A9619C946197D6CF,CHINESE SACK NIU-CHWANG.,china,,china (chinese),,07,1900
https://query.nytimes.com/gst/abstract.html?res=9505E5D9143DE433A2575AC0A96E9C946197D6CF,SHARP DEMAND SENT TO CHINA; Strict Compliance with President's Terms Required. RESULT OF CONGER DISPATCH Cabinet Officials Consult with Mr. McKinley Over Telephone -- More Troops May Be Ordered from Philippines.,china,china (china) : philippines (philippines),,,08,1900
https://query.nytimes.com/gst/abstract.html?res=9802E5D9153FE433A2575BC0A96F9C946197D6CF,Germany to Facilitate Coal Imports.,germany,germany (germany),,,09,1900
https://query.nytimes.com/gst/abstract.html?res=9F05E2D8173FE433A25752C1A9669D946197D6CF,LIBERALS' LOSS MADE UP.; They Gain More Seats in British General Election -- Sir H. Campbell- Bannerman Re-elected.,united kingdom,,united kingdom (british),,10,1900
