web_url,headline,top,common,demonym,city,month,year,count
http://query.nytimes.com/gst/abstract.html?res=950CEEDA113CE433A25756C0A9679C946197D6CF,"L5,000 MORE FROM MR. ASTOR.; Sum Given to London Volunteers Makes Donor's Total Contributions to War Fund L12,000.",united kingdom,,,united kingdom (london),01,1900,61
http://query.nytimes.com/gst/abstract.html?res=9E06E1DB153FE433A25757C2A9649C946197D6CF,"CRUISERS AT BANDAR ABBAS.; Russian Vessel Arrives, at the Persian Port and Two British Ships Are Proceeding There.",united kingdom,,united kingdom (british) : iran (persian) : russia (russian),,02,1900,44
http://query.nytimes.com/gst/abstract.html?res=9B01E5DE1339E733A25755C0A9659C946197D6CF,"BRITISH MARCH TO RELIEF OF MAFEKING; A Large Force Leaves Kimberley for the North. LOOKING FOR A FIGHT Expect to Meet Boers At Fourteen Streams On the Vaal. LORD ROBERTS READY His Army Is on Both Sides of the Modder Not Five Miles Away from a Body of Boers Estimated at 6,000.",united kingdom,south africa (boer),united kingdom (british),,03,1900,27
http://query.nytimes.com/gst/abstract.html?res=9A00E6D61E3CE433A25754C2A9629C946197D6CF,ENGLAND'S SYMPATHY AND AID.,united kingdom,united kingdom (england),,,04,1900,24
http://query.nytimes.com/gst/abstract.html?res=9F03E5DB143DE433A25755C1A9639C946197D6CF,BOER PEACE ENVOYS URGE THEIR CAUSE; Crowds in Hoboken Cheer Them on Their Arrival on the Maasdam. NO GREETINGS IN NEW YORK Delegates Hope to Influence America -- Say Their Countrymen Will Never Cease to Fight England.,united kingdom,united kingdom (england) : south africa (boer),,,05,1900,29
http://query.nytimes.com/gst/abstract.html?res=9B01E3D71F3CE433A2575AC0A9609C946197D6CF,UNITED STATES MAY JOIN OTHER POWERS; Change in State Department's Attitude on Chinese Problem. KEMPFF TO ACT IN CONCERT He Reports Conference of Naval Commanders -- No Mention of Russian Officer -- McCalla May Command.,china,,china (chinese) : russia (russian),,06,1900,42
http://query.nytimes.com/gst/abstract.html?res=9D0CE4D9163FE433A25751C1A9619C946197D6CF,CHINA IN FEAR OF WRATH OF POWERS; Apparently Making Excuses for Peking Massacre. ALLIED TROOPS DEFEATED Driven from Tien-Tsin Arsenal and Are in Great Peril. PRINCE TUAN ISSUES EDICT Says It Is Impossible to Continue to Protect the Legations -- Li-Hung-Chang Again Ordered to Peking.,china,china (china),,,07,1900,54
http://query.nytimes.com/gst/abstract.html?res=9E04E5DC1039E733A25757C1A96E9C946197D6CF,ALLIES MAY BE IN PEKING NOW; Remey Reports Capture of Ho-Si-Wu on Aug. 9. THE CHINESE DEMORALIZED Little Further Opposition on Their Part Expected. Foreigners in the Capital in Desperate Peril -- British Legation Had Food for but Ten Days Aug. 6.,china,,china (chinese) : united kingdom (british),,08,1900,42
http://query.nytimes.com/gst/abstract.html?res=980CE7D9153FE433A25754C0A96F9C946197D6CF,"NEW NOTE TO BE SENT TO RUSSIA; Will Propose Leaving Small Guard at Peking, It Is Said. TWO REPLIES TO FORMER NOTE France Favors Russia -- Germany Refuses to Evacuate. New Proposal May Effect a Compromise -- Li-Hung-Chang Free to Go North -- Messages from Conger, Chaffee, and Barry.",germany,germany (germany) : france (france) : russia (russia),,,09,1900,13
http://query.nytimes.com/gst/abstract.html?res=9B04E7DE143FE433A2575AC2A9669D946197D6CF,FRANCE AND RUSSIA ACCEPT.; Will Subscribe to the Anglo-German Agreement -- Russia's Manchurian Interests.,united kingdom,france (france) : russia (russia),germany (german) : united kingdom (anglo),,10,1900,22
http://query.nytimes.com/gst/abstract.html?res=9801E5DA163CE433A25751C2A9679D946197D6CF,GREAT BRITAIN AND COLOMBIA.; Dispatch of Gunboat Causes Anxiety in Washington -- No American Warship Ordered to Colombia.,united kingdom,colombia (colombia) : united kingdom (britain),,,11,1900,25
http://query.nytimes.com/gst/abstract.html?res=9A01E6DC143FE433A25752C3A9649D946197D6CF,LONDON AWAITS MORE CRASHES; It Is Expected that Six Additional Firms Will Suspend To-day.,united kingdom,,,united kingdom (london),12,1900,64
http://query.nytimes.com/gst/abstract.html?res=9506EEDD1330E132A25750C1A9679C946097D6CF,MAY TRAP BOER INVADERS.; Indications that British at Their Rear Are Forcing Them Southward -- Long British Casualty Lists.,united kingdom,south africa (boer),united kingdom (british),,01,1901,46
http://query.nytimes.com/gst/abstract.html?res=9B00E5DE103DEE32A25752C1A9649C946097D6CF,FEARS AMERICAN TRADE.; Sir Charles Dilke Says Franco-British Quarrel Would Aid This Country.,united kingdom,,france (franco) : united kingdom (british),,02,1901,27
http://query.nytimes.com/gst/abstract.html?res=9905E4DD103DEE32A25751C1A9659C946097D6CF,RUSSIA THREATENS CHINA.; Said to Have Demanded Signature of Manchuria Agreement -- Earl Li Appeals to the Powers?,russia,china (china) : russia (russia),,,03,1901,39
http://query.nytimes.com/gst/abstract.html?res=9A02E5D61330E132A25750C0A9629C946097D6CF,EARL LI TO LEAVE PEKING?; Is Said to be About to Return to Shang- hai -- Believes Russia Is the Only Power China Need Fear.,russia,china (china) : russia (russia),,,04,1901,35
